src_ip,dst_ip,src_port,dst_port,protocol,packet_size,duration,packets_sent,packets_received,bytes_sent,bytes_received,syn_flag,ack_flag,fin_flag,rst_flag,psh_flag,urg_flag,label
103.99.117.186,93.109.57.20,45970,110,TCP,81,8.594,83,85,34097,43909,0,1,0,0,0,0,normal
133.239.64.81,57.12.207.174,31708,443,ICMP,1150,8.793,66,16,49556,35791,1,0,0,0,0,0,normal
29.12.203.219,162.0.122.173,48837,31154,TCP,60,0.003,1,0,60,0,1,0,0,0,0,0,port_scan
48.218.19.75,29.156.163.167,46673,22,UDP,226,9.445,151,87,18708,10161,1,1,0,0,0,0,normal
149.206.102.66,243.152.36.225,27927,21,ICMP,1343,4.245,32,95,38279,14554,0,1,0,0,0,0,normal
126.91.115.144,155.91.168.12,23534,80,ICMP,242,7.881,134,76,3212,39376,0,0,1,0,0,0,normal
45.152.197.142,87.221.13.122,6058,25,UDP,433,9.737,34,90,15124,19199,0,0,0,0,1,0,normal
236.194.210.99,135.163.202.73,41009,22,TCP,294,0.569,13,10,694,841,0,1,0,1,1,0,brute_force
2.219.3.79,92.22.0.66,31980,143,UDP,786,6.56,33,146,44947,36216,1,0,1,0,1,0,normal
62.9.181.224,229.24.74.141,46468,21,UDP,1144,4.652,124,166,21771,34687,1,1,1,0,0,0,normal
29.12.203.219,162.0.122.173,47257,12882,TCP,60,0.001,1,1,60,40,1,0,0,1,0,0,port_scan
22.146.42.11,6.85.232.155,34318,110,TCP,1439,1.313,82,153,7970,10814,0,0,1,0,1,0,normal
167.229.19.48,178.115.118.208,33996,8080,ICMP,734,0.011,810,2,258138,100,0,0,0,0,0,0,ddos
202.201.225.203,178.115.118.208,11440,8080,TCP,729,0.055,462,1,352546,0,1,0,0,0,0,0,ddos
147.89.165.234,68.81.235.206,2509,80,UDP,972,3.079,106,77,13642,11573,0,0,0,0,0,0,normal
29.12.203.219,162.0.122.173,47800,8299,TCP,60,0.006,1,1,60,0,1,0,0,0,0,0,port_scan
9.100.34.53,185.226.243.119,19850,25,UDP,290,6.455,11,65,22699,26437,1,1,0,0,1,0,normal
172.39.177.11,112.73.57.22,46888,3306,ICMP,1133,3.156,12,161,13833,31506,0,0,0,0,0,0,normal
67.93.80.98,4.2.213.156,49460,80,TCP,267,1.937,12,7,3379,1554,0,1,0,0,1,0,sql_injection
170.56.115.21,225.248.6.194,64698,3306,ICMP,706,7.386,182,22,36903,27760,0,1,1,0,1,0,normal
101.188.222.20,45.12.134.70,13331,21,ICMP,935,1.863,141,59,29118,3847,1,0,0,0,1,0,normal
29.12.203.219,162.0.122.173,41735,53800,TCP,60,0.003,1,1,60,0,1,0,0,0,0,0,port_scan
124.244.100.139,122.49.29.108,22093,5432,UDP,962,1.133,193,7,8961,21011,1,0,0,0,0,0,normal
239.114.175.145,111.166.66.221,60907,22,TCP,155,7.569,59,184,31452,34276,1,1,1,0,1,0,normal
144.57.28.141,178.115.118.208,51154,8080,UDP,1195,0.025,770,1,340312,0,1,0,0,0,0,0,ddos
229.134.137.229,85.242.69.245,41655,5432,UDP,1166,7.272,54,179,11930,31173,1,0,1,0,0,0,normal
29.12.203.219,162.0.122.173,45731,15712,TCP,60,0.001,1,0,60,0,1,0,0,1,0,0,port_scan
230.37.161.203,154.188.142.27,4301,5432,UDP,82,2.923,152,183,21642,28858,0,1,0,0,1,0,normal
193.150.81.132,178.115.118.208,45987,8080,ICMP,926,0.054,1213,2,762715,100,0,0,0,0,0,0,ddos
139.105.173.146,206.88.77.237,42862,80,TCP,457,0.139,107,80,29895,36322,0,1,0,0,1,0,normal
122.220.38.198,178.115.118.208,10597,8080,UDP,1213,0.059,1990,0,430651,100,0,0,0,0,0,0,ddos
209.54.6.53,178.115.118.208,65037,8080,UDP,680,0.042,1045,0,890168,0,1,0,0,0,0,0,ddos
222.77.171.254,178.115.118.208,60184,8080,UDP,1421,0.04,1906,1,288092,0,1,0,0,0,0,0,ddos
134.87.190.199,16.243.90.8,28250,80,ICMP,96,3.514,126,94,41428,46175,0,0,0,0,0,0,normal
67.93.80.98,4.2.213.156,58342,80,TCP,747,1.867,5,10,2156,1321,0,1,0,0,1,0,sql_injection
91.242.177.109,15.95.86.69,7452,80,TCP,1423,4.678,52,163,39043,18242,0,1,1,0,1,0,normal
162.148.214.196,141.166.5.79,40349,21,TCP,1253,9.944,79,65,8228,19910,0,0,0,0,1,0,normal
52.252.155.118,22.128.170.145,55249,22,TCP,1483,5.846,51,72,27250,32513,0,1,1,0,1,0,normal
224.19.202.173,179.199.149.96,41428,3306,ICMP,1059,9.933,195,107,6370,42821,0,0,0,0,1,0,normal
67.93.80.98,4.2.213.156,47762,8080,TCP,818,1.354,7,8,1566,1089,0,1,0,0,1,0,sql_injection
77.194.79.40,183.6.229.178,37224,53,ICMP,198,0.825,200,105,28238,41176,1,1,0,0,0,0,normal
215.3.167.21,151.196.37.104,36024,443,ICMP,824,3.157,50,177,25883,20422,1,1,0,0,1,0,normal
192.70.139.206,117.147.88.165,46964,443,TCP,387,7.033,135,87,13092,17751,0,1,1,0,1,0,normal
158.155.198.57,147.98.250.18,62950,80,ICMP,824,7.998,167,150,23868,46142,0,0,1,0,1,0,normal
25.36.241.12,187.33.114.66,61320,80,TCP,833,9.334,150,107,20864,7010,0,1,1,0,1,0,normal
103.215.72.168,72.140.172.44,7011,143,TCP,519,3.637,99,88,46332,30172,1,0,1,0,1,0,normal
19.171.120.222,230.165.85.131,34684,3306,UDP,1500,4.03,57,84,2566,11988,1,1,1,0,1,0,normal
67.93.80.98,4.2.213.156,45566,443,TCP,683,1.779,14,8,2098,300,0,1,0,0,1,0,sql_injection
179.250.19.192,178.115.118.208,39287,8080,ICMP,569,0.047,1183,1,149665,0,1,0,0,0,0,0,ddos
29.235.132.180,47.103.242.147,3703,21,ICMP,211,1.673,14,95,45479,27214,1,1,0,0,1,0,normal
87.148.33.254,5.83.245.88,14983,110,ICMP,1277,1.463,106,41,6151,21771,0,1,0,0,1,0,normal
67.93.80.98,4.2.213.156,55873,8080,TCP,784,1.232,14,10,3461,190,0,1,0,0,1,0,sql_injection
236.194.210.99,135.163.202.73,47015,22,TCP,196,0.157,11,8,930,814,0,1,0,1,1,0,brute_force
117.239.124.70,160.251.187.220,32007,143,UDP,592,8.157,175,92,17825,16220,0,1,0,0,1,0,normal
219.113.202.109,208.228.157.22,30335,53,UDP,1257,3.29,174,116,15901,42074,0,1,1,0,0,0,normal
91.6.37.19,79.201.35.172,57393,143,ICMP,1289,5.179,81,90,42170,35327,1,0,0,0,1,0,normal
84.145.194.137,96.28.138.128,61143,80,UDP,243,9.187,111,19,47739,36784,0,1,0,0,0,0,normal
29.12.203.219,162.0.122.173,46772,37165,TCP,60,0.003,1,1,60,0,1,0,0,1,0,0,port_scan
29.12.203.219,162.0.122.173,48153,9085,TCP,60,0.007,1,1,60,40,1,0,0,1,0,0,port_scan
236.194.210.99,135.163.202.73,53882,21,TCP,232,0.226,15,10,766,970,0,1,0,0,1,0,brute_force
109.16.245.26,178.115.118.208,21730,8080,ICMP,1477,0.091,1813,0,226710,0,1,0,0,0,1,0,ddos
227.100.199.28,21.55.132.14,43100,25,ICMP,1351,1.54,80,53,20062,10438,1,0,1,0,1,0,normal
240.6.201.44,248.80.133.84,56199,5432,UDP,703,2.545,59,10,34594,14806,1,0,1,0,1,0,normal
3.227.136.65,150.99.51.145,7396,3306,TCP,546,2.772,38,9,21775,28629,1,1,1,0,1,0,normal
10.116.241.27,178.115.118.208,56976,8080,TCP,1353,0.015,761,0,823010,0,0,0,0,0,0,0,ddos
250.178.79.36,94.180.4.187,29310,5432,UDP,1237,7.254,3,188,42830,26000,0,0,0,0,1,0,normal
39.117.133.110,178.115.118.208,27714,8080,ICMP,1177,0.061,1934,0,793910,100,1,0,0,0,0,0,ddos
236.194.210.99,135.163.202.73,56973,22,TCP,290,0.204,12,4,734,886,0,1,0,0,1,0,brute_force
7.114.81.253,114.163.71.191,5446,21,TCP,1246,1.024,136,133,39886,1457,1,1,0,0,0,0,normal
101.94.185.177,163.161.137.185,53008,443,UDP,928,1.852,156,159,24225,10094,1,0,1,0,1,0,normal
105.120.140.129,178.115.118.208,6967,8080,ICMP,1327,0.028,901,2,815788,100,0,0,0,0,1,0,ddos
29.12.203.219,162.0.122.173,46917,3349,TCP,60,0.006,1,0,60,0,1,0,0,1,0,0,port_scan
29.12.203.219,162.0.122.173,49106,41751,TCP,60,0.002,1,0,60,0,1,0,0,1,0,0,port_scan
249.231.87.38,1.181.6.133,53181,110,TCP,1012,5.007,39,197,13400,22350,1,0,1,0,0,0,normal
236.194.210.99,135.163.202.73,48822,22,TCP,252,0.618,7,8,479,275,0,1,0,1,1,0,brute_force
227.182.203.98,195.42.123.128,53669,143,TCP,168,3.25,199,10,29132,25878,0,0,0,0,1,0,normal
29.12.203.219,162.0.122.173,40873,45242,TCP,60,0.007,1,1,60,40,1,0,0,1,0,0,port_scan
171.177.188.113,121.179.95.244,60376,143,ICMP,101,0.71,96,199,49283,47836,1,0,1,0,1,0,normal
150.1.104.187,230.105.85.35,17912,443,UDP,325,0.201,182,152,2205,983,1,1,0,0,0,0,normal
233.185.165.99,178.115.118.208,46028,8080,ICMP,1215,0.047,733,2,216378,100,0,0,0,0,0,0,ddos
162.157.59.204,113.213.90.146,22929,53,ICMP,461,4.936,149,174,13845,45062,0,0,0,0,1,0,normal
9.150.227.107,56.131.93.76,39597,53,TCP,819,3.895,86,80,8716,894,1,1,1,0,1,0,normal
239.184.193.161,201.88.238.36,58583,143,TCP,1096,2.876,98,168,3566,11596,0,1,1,0,0,0,normal
84.10.198.125,30.201.218.180,17896,21,TCP,128,5.189,191,175,29527,49217,1,0,1,0,0,0,normal
33.166.115.137,36.37.236.92,25472,3306,UDP,1249,5.041,58,32,1353,15316,1,0,0,0,0,0,normal
7.226.243.77,52.21.66.17,33244,80,TCP,1126,8.309,52,127,28300,13660,0,0,0,0,0,0,normal
225.217.186.115,236.222.106.157,18350,3306,TCP,834,3.295,163,152,13796,11912,1,1,0,0,0,0,normal
145.131.70.98,51.119.100.159,59502,21,TCP,144,8.784,38,64,36213,22475,1,1,0,0,0,0,normal
107.133.251.7,148.38.122.171,22857,110,TCP,1396,9.889,128,106,21636,3144,1,1,1,0,1,0,normal
150.156.165.32,13.86.54.112,4644,22,TCP,1283,7.685,147,13,10934,19487,1,0,0,0,1,0,normal
236.194.210.99,135.163.202.73,46652,23,TCP,122,0.497,11,9,200,980,0,1,0,0,1,0,brute_force
62.213.191.90,87.143.169.197,48450,21,ICMP,1252,0.768,54,148,22773,37766,1,1,0,0,1,0,normal
39.138.107.243,137.249.49.56,16704,21,TCP,259,8.09,100,162,29774,26881,1,1,1,0,1,0,normal
29.12.203.219,162.0.122.173,43751,21312,TCP,60,0.004,1,1,60,0,1,0,0,0,0,0,port_scan
104.89.17.81,206.55.127.236,47595,143,TCP,645,4.757,66,156,38335,27436,1,1,1,0,0,0,normal
29.12.203.219,162.0.122.173,45937,48305,TCP,60,0.01,1,0,60,40,1,0,0,1,0,0,port_scan
202.90.53.163,209.70.143.141,44472,110,ICMP,581,9.805,76,31,47023,2385,1,0,1,0,0,0,normal
168.16.43.8,62.249.245.225,16499,443,UDP,650,5.263,195,39,32775,29403,0,0,1,0,1,0,normal
236.194.210.99,135.163.202.73,52917,3389,TCP,180,0.786,11,3,471,212,0,1,0,0,1,0,brute_force
67.93.80.98,4.2.213.156,56970,80,TCP,501,0.611,8,1,4417,1979,0,1,0,0,1,0,sql_injection
197.254.160.152,133.54.247.132,38021,143,TCP,1283,5.302,27,175,9126,18786,1,1,1,0,0,0,normal
20.118.180.150,33.242.124.190,55872,22,UDP,317,4.434,37,19,10414,12867,1,0,0,0,0,0,normal
104.53.37.114,194.64.232.189,1719,110,UDP,1355,9.994,17,75,6594,3353,1,1,1,0,0,0,normal
248.229.183.165,178.115.118.208,64442,8080,ICMP,681,0.047,1364,2,902939,100,0,0,0,0,0,0,ddos
153.174.30.107,125.201.119.245,13904,110,ICMP,177,8.27,14,4,2889,7038,0,0,1,0,1,0,normal
52.57.240.9,218.50.86.132,38204,110,UDP,701,8.414,130,140,18165,21186,1,1,1,0,1,0,normal
228.95.200.187,162.251.252.168,8098,110,ICMP,1315,1.854,99,162,31643,45614,1,0,1,0,0,0,normal
61.55.205.136,225.97.26.119,54275,3306,ICMP,243,2.49,76,152,43181,9573,1,0,1,0,1,0,normal
113.162.88.187,74.236.183.205,17980,3306,ICMP,1087,5.503,8,167,3801,9303,0,1,0,0,0,0,normal
90.68.22.168,159.57.6.71,49232,21,ICMP,1159,3.88,53,42,924,3679,1,0,0,0,0,0,normal
130.133.29.231,112.154.20.171,11335,53,TCP,1139,2.858,79,22,19343,25011,1,1,1,0,1,0,normal
67.117.205.109,12.108.132.93,36190,25,UDP,681,1.597,44,74,43766,16988,0,0,0,0,1,0,normal
229.246.114.22,128.10.165.239,17676,3306,TCP,986,6.889,109,133,30894,27396,0,1,1,0,0,0,normal
162.91.98.208,8.179.73.133,8525,53,TCP,178,1.999,12,153,27188,25259,1,1,1,0,0,0,normal
67.93.80.98,4.2.213.156,48937,443,TCP,497,0.836,17,2,1860,445,0,1,0,0,1,0,sql_injection
107.243.101.97,178.115.118.208,61983,8080,UDP,1057,0.009,1443,1,232455,100,1,0,0,0,0,0,ddos
14.39.206.64,183.89.172.162,61167,5432,UDP,471,1.157,62,134,10930,14481,1,0,0,0,1,0,normal
67.93.80.98,4.2.213.156,40107,8080,TCP,917,1.7,7,5,1142,641,0,1,0,0,1,0,sql_injection
77.254.88.76,178.115.118.208,37093,8080,TCP,1236,0.032,1142,1,756251,0,0,0,0,0,1,0,ddos
233.225.107.125,4.142.140.7,64374,143,TCP,584,5.477,149,79,17946,11196,0,1,0,0,0,0,normal
29.12.203.219,162.0.122.173,44838,21426,TCP,60,0.005,1,0,60,40,1,0,0,0,0,0,port_scan
164.217.115.82,44.130.18.115,24589,5432,UDP,1411,0.861,156,110,38024,18068,0,1,1,0,1,0,normal
236.194.210.99,135.163.202.73,41489,23,TCP,239,0.74,14,6,994,367,0,1,0,0,1,0,brute_force
19.242.32.158,162.42.129.153,65273,110,UDP,311,5.604,170,143,41600,5178,1,0,0,0,1,0,normal
104.114.113.242,67.139.114.107,1796,110,TCP,633,9.641,183,128,30585,4112,1,1,0,0,0,0,normal
29.12.203.219,162.0.122.173,41777,29548,TCP,60,0.002,1,0,60,40,1,0,0,0,0,0,port_scan
144.246.140.239,68.100.128.179,30577,25,UDP,519,3.793,106,22,38135,15855,0,0,0,0,1,0,normal
216.91.240.49,109.171.207.60,28483,143,UDP,377,2.949,110,78,18132,21901,0,0,1,0,0,0,normal
52.254.13.15,130.119.106.94,9357,25,ICMP,674,4.296,174,174,38834,34073,1,0,0,0,0,0,normal
147.222.98.167,138.103.130.222,56630,143,UDP,1388,5.232,29,175,5388,29359,0,0,0,0,0,0,normal
97.16.32.177,68.206.99.214,22081,443,TCP,814,9.917,114,80,13523,26254,0,0,0,0,0,0,normal
236.194.210.99,135.163.202.73,43722,3389,TCP,203,0.862,7,6,1264,156,0,1,0,1,1,0,brute_force
