src_ip,dst_ip,src_port,dst_port,protocol,packet_size,duration,packets_sent,packets_received,bytes_sent,bytes_received,syn_flag,ack_flag,fin_flag,rst_flag,label
85.150.28.130,10.14.185.219,60867,25,TCP,1338,3.73,77,69,4106,4751,1,0,0,0,normal
110.173.10.15,2.146.245.149,45803,22,UDP,740,0.73,21,42,6478,3956,1,1,1,0,normal
122.187.154.73,9.189.245.87,20860,53,TCP,1333,0.462,1,1,2798,9248,1,1,0,0,normal
245.54.191.236,128.150.77.77,49865,22,TCP,474,1.248,68,7,8549,817,0,0,0,0,normal
206.143.248.79,130.212.84.181,41297,80,UDP,1429,1.44,2,59,5942,3239,0,0,0,0,normal
26.46.208.116,112.198.79.254,24607,443,TCP,528,0.098,414,0,75427,0,1,0,0,0,ddos
134.195.108.94,206.122.78.21,27375,443,UDP,534,1.261,89,95,7546,8642,0,1,0,0,normal
72.0.91.18,232.249.184.75,61866,443,TCP,1478,3.288,35,39,3918,6637,1,1,0,0,normal
220.93.254.81,173.14.61.84,47548,53,ICMP,1169,2.408,12,13,340,5507,0,0,1,0,normal
155.102.0.211,112.198.79.254,43733,443,TCP,1283,0.066,719,0,438871,0,1,0,0,0,ddos
121.191.109.144,188.168.215.132,13856,25,ICMP,959,0.824,67,25,1667,9727,0,0,1,0,normal
185.95.255.103,149.144.70.64,46204,53,UDP,1415,3.026,37,27,1810,514,1,0,1,0,normal
165.160.85.227,212.233.72.203,42571,21,TCP,1466,0.231,79,82,2143,7078,1,1,1,0,normal
174.102.122.176,245.103.163.83,15717,443,TCP,1026,3.61,79,58,127,5456,0,1,0,0,normal
194.142.100.31,112.198.79.254,42150,80,TCP,1080,0.035,934,0,198969,0,1,0,0,0,ddos
41.50.201.249,112.198.79.254,43937,443,TCP,519,0.089,640,0,471407,0,1,0,0,0,ddos
192.249.55.44,139.166.188.73,35359,21,TCP,809,4.127,34,6,8204,3648,1,0,0,0,normal
234.78.47.239,112.198.79.254,50662,443,TCP,1321,0.043,636,0,288903,0,1,0,0,0,ddos
157.202.137.167,254.251.137.193,56405,80,TCP,817,4.707,6,41,3549,4226,1,1,1,0,normal
141.69.134.17,126.223.173.88,59285,22,UDP,351,3.664,54,40,6815,5151,1,1,1,0,normal
186.22.12.221,214.81.41.62,21482,443,UDP,484,3.35,22,29,4093,8831,0,1,1,0,normal
43.200.62.38,229.13.212.31,59482,80,ICMP,64,1.873,57,48,3854,9889,0,0,0,0,normal
13.34.48.186,185.38.214.125,60372,22,TCP,1052,2.012,28,90,8809,5113,0,1,0,0,normal
231.80.191.201,254.79.159.189,42382,31754,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
231.80.191.201,254.79.159.189,44095,18850,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
181.14.158.54,135.62.232.100,14694,80,ICMP,245,3.692,7,63,5599,4215,1,0,0,0,normal
29.230.195.82,25.93.62.6,29124,21,UDP,1365,1.995,39,89,5564,7745,0,1,1,0,normal
233.57.145.229,112.198.79.254,53481,443,TCP,1401,0.054,564,0,428444,0,1,0,0,0,ddos
51.170.74.123,249.178.16.111,19778,21,UDP,851,0.33,12,8,1811,6097,0,0,1,0,normal
132.217.38.243,239.107.156.76,27534,80,TCP,218,0.416,3,97,8996,3107,1,1,0,0,normal
165.157.214.60,154.60.102.66,17792,80,ICMP,568,0.29,84,70,4141,9250,1,1,0,0,normal
239.51.24.211,112.198.79.254,7805,443,TCP,879,0.058,967,0,219388,0,1,0,0,0,ddos
185.222.221.6,83.47.178.92,17114,443,UDP,325,2.894,22,8,7280,1898,0,1,0,0,normal
104.30.113.91,187.55.105.39,36241,21,ICMP,869,1.291,91,76,840,2767,0,1,0,0,normal
196.154.1.61,112.198.79.254,61320,443,TCP,1447,0.013,218,0,130071,0,1,0,0,0,ddos
231.80.191.201,254.79.159.189,48667,59726,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
231.80.191.201,254.79.159.189,45216,31805,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
231.80.191.201,254.79.159.189,47791,46510,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
196.109.70.181,49.233.112.112,18161,21,TCP,1173,1.685,3,7,9159,3992,0,1,0,0,normal
112.80.30.149,112.198.79.254,60975,80,TCP,829,0.054,152,0,491050,0,1,0,0,0,ddos
192.47.155.200,112.198.79.254,44339,443,TCP,924,0.006,967,0,92496,0,1,0,0,0,ddos
156.134.198.37,225.73.241.1,33883,80,UDP,1087,1.426,28,91,582,1697,1,0,1,0,normal
61.61.144.155,112.198.79.254,47752,80,TCP,559,0.062,362,0,323226,0,1,0,0,0,ddos
231.80.191.201,254.79.159.189,42695,59901,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
162.183.143.195,70.90.132.69,1688,22,ICMP,996,4.894,68,74,2080,4874,1,1,1,0,normal
113.231.235.91,190.135.8.59,28533,25,TCP,490,2.646,13,28,2321,1142,1,1,0,0,normal
130.217.37.245,112.198.79.254,25782,443,TCP,1464,0.019,327,0,213407,0,1,0,0,0,ddos
213.33.112.20,112.198.79.254,38663,443,TCP,1276,0.06,149,0,128305,0,1,0,0,0,ddos
231.80.191.201,254.79.159.189,49736,48734,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
173.205.143.92,19.70.173.76,52796,80,TCP,857,1.065,16,97,868,7389,0,1,1,0,normal
182.74.4.100,50.179.218.29,27305,53,TCP,699,1.574,41,62,6968,6728,0,1,0,0,normal
129.190.118.11,112.198.79.254,1586,80,TCP,1477,0.024,994,0,117528,0,1,0,0,0,ddos
82.80.237.203,12.49.60.236,27344,53,TCP,512,2.448,40,57,9297,580,0,1,1,0,normal
24.117.221.22,157.6.71.46,51947,21,TCP,201,2.61,20,68,3915,303,0,0,1,0,normal
22.8.178.18,24.25.21.186,22103,443,ICMP,1461,3.719,44,84,7740,3272,0,1,1,0,normal
231.80.191.201,254.79.159.189,40325,25522,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
231.80.191.201,254.79.159.189,41584,47000,TCP,60,0.001,1,0,60,0,1,0,0,0,port_scan
100.172.193.55,198.56.247.152,60898,25,ICMP,1370,0.666,46,12,9839,374,1,1,1,0,normal
1.147.83.222,112.198.79.254,61267,443,TCP,1086,0.099,596,0,445636,0,1,0,0,0,ddos
139.100.17.211,74.238.84.241,58330,443,UDP,278,2.06,83,63,1288,8682,1,1,0,0,normal
231.80.191.201,254.79.159.189,44603,10466,TCP,60,0.001,1,0,60,0,1,0,0,0,port_scan
142.100.144.106,112.198.79.254,47973,443,TCP,1083,0.013,990,0,91822,0,1,0,0,0,ddos
140.104.253.187,253.10.159.207,37120,443,ICMP,1024,3.121,71,37,8440,2646,1,0,1,0,normal
171.248.145.190,112.198.79.254,41419,80,TCP,1359,0.06,982,0,387538,0,1,0,0,0,ddos
16.53.79.6,112.198.79.254,22826,80,TCP,824,0.098,227,0,364391,0,1,0,0,0,ddos
231.80.191.201,254.79.159.189,42165,13060,TCP,60,0.001,1,0,60,0,1,0,0,0,port_scan
207.110.200.211,112.198.79.254,44179,80,TCP,1471,0.026,436,0,170124,0,1,0,0,0,ddos
142.70.178.52,109.66.67.17,50252,25,TCP,342,2.327,85,97,6337,9304,0,0,1,0,normal
116.109.209.231,102.1.202.12,42048,443,UDP,1383,0.426,62,16,466,3530,0,1,0,0,normal
200.4.230.36,225.230.166.24,18367,80,TCP,955,1.267,24,95,4054,8237,1,1,1,0,normal
237.103.8.161,102.149.181.130,17468,80,UDP,897,1.37,89,43,9351,6966,1,1,0,0,normal
106.219.105.78,112.198.79.254,50576,80,TCP,943,0.1,410,0,353382,0,1,0,0,0,ddos
251.104.139.64,74.91.92.225,57750,21,ICMP,1001,0.16,22,28,9368,6313,0,1,0,0,normal
231.80.191.201,254.79.159.189,41094,4031,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
231.80.191.201,254.79.159.189,43974,43339,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
231.80.191.201,254.79.159.189,44080,54428,TCP,60,0.001,1,0,60,0,1,0,0,0,port_scan
181.133.199.235,70.11.35.7,56026,22,UDP,366,3.474,93,74,1161,9472,0,1,0,0,normal
106.59.18.14,112.198.79.254,46897,80,TCP,1228,0.043,896,0,358415,0,1,0,0,0,ddos
68.230.157.243,255.222.245.105,2348,443,UDP,903,4.545,81,1,1055,1196,0,0,1,0,normal
231.80.191.201,254.79.159.189,49391,4570,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
112.85.62.149,112.198.79.254,15004,80,TCP,1013,0.011,709,0,483530,0,1,0,0,0,ddos
118.216.173.192,2.207.37.145,34269,80,TCP,1360,1.688,62,68,9657,355,1,0,0,0,normal
177.199.139.94,80.200.193.238,21191,443,ICMP,181,2.602,88,21,2275,5095,1,0,1,0,normal
255.78.0.215,178.248.159.219,1542,443,TCP,1486,0.815,52,40,9096,1372,0,1,0,0,normal
54.4.92.93,230.176.183.249,30302,80,ICMP,690,0.389,76,59,6957,6470,0,1,0,0,normal
206.98.159.186,166.87.119.146,57117,21,TCP,1375,3.449,53,68,5310,320,1,0,0,0,normal
241.160.177.95,22.93.178.153,47605,53,TCP,394,4.331,39,72,4966,5949,0,0,0,0,normal
145.241.218.231,32.212.138.137,48367,53,UDP,323,0.173,25,95,7747,3718,1,0,1,0,normal
172.244.158.65,112.198.79.254,57106,80,TCP,1346,0.087,518,0,110790,0,1,0,0,0,ddos
111.24.104.251,58.6.99.177,25277,80,UDP,141,4.518,33,29,2073,9914,1,0,1,0,normal
217.241.94.51,195.4.99.213,34324,21,ICMP,335,4.099,19,63,6755,7547,1,0,1,0,normal
114.196.236.205,111.248.134.218,12959,443,TCP,1319,3.831,90,15,2626,4887,0,1,1,0,normal
129.57.189.38,191.231.245.111,3503,80,TCP,602,3.352,45,18,3796,1716,1,1,1,0,normal
12.119.184.198,38.63.110.176,30161,80,TCP,81,2.616,63,90,2177,9399,0,0,0,0,normal
229.107.1.252,112.198.79.254,15150,443,TCP,1407,0.005,166,0,370724,0,1,0,0,0,ddos
53.10.26.17,70.248.180.120,49831,443,TCP,570,0.177,6,22,294,3732,0,1,1,0,normal
95.252.73.85,112.40.74.13,6847,21,TCP,1295,4.0,31,35,1219,8039,1,0,1,0,normal
50.240.255.162,112.198.79.254,35591,443,TCP,584,0.053,381,0,307425,0,1,0,0,0,ddos
78.196.215.89,97.18.93.14,19938,443,TCP,1479,4.319,98,99,3253,8799,0,0,0,0,normal
104.253.96.228,124.161.61.103,54958,80,TCP,415,0.514,71,56,8109,9678,0,1,0,0,normal
139.144.194.217,96.153.115.48,4910,21,TCP,318,0.526,51,98,575,4936,1,0,0,0,normal
86.241.235.50,103.40.2.38,64715,80,ICMP,665,0.079,58,14,3187,1580,0,1,0,0,normal
19.204.182.244,7.151.83.5,28294,80,TCP,1442,2.042,10,13,6116,1717,1,0,1,0,normal
235.214.188.94,196.67.210.44,57226,21,TCP,158,0.325,45,43,3767,4103,0,1,0,0,normal
59.121.130.80,91.204.108.216,64641,21,ICMP,1135,2.046,74,46,9779,4175,1,1,1,0,normal
16.64.250.236,118.153.39.229,39021,21,UDP,1419,0.099,12,10,329,7851,1,0,0,0,normal
136.111.161.235,46.78.201.53,47339,80,ICMP,1214,4.886,61,56,4448,9800,0,1,0,0,normal
93.240.102.50,87.217.244.50,11694,53,ICMP,1366,0.439,15,59,1675,3354,1,1,1,0,normal
130.120.206.166,173.120.40.58,6701,53,UDP,282,1.067,13,43,302,8694,0,1,1,0,normal
213.22.249.13,222.21.96.170,47987,80,ICMP,709,0.002,58,9,5801,5991,0,0,0,0,normal
39.32.23.151,161.191.106.52,63253,443,TCP,1320,1.897,26,17,4760,9603,1,0,0,0,normal
231.80.191.201,254.79.159.189,42023,6228,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
207.202.227.126,137.143.98.76,22833,80,TCP,878,0.234,67,60,8789,2511,0,0,0,0,normal
114.46.153.32,67.0.222.10,8243,80,UDP,134,4.505,18,91,9711,6688,0,0,1,0,normal
24.248.81.105,111.199.85.199,55356,25,ICMP,705,2.55,94,93,3618,5000,1,1,0,0,normal
78.178.200.59,112.198.79.254,21515,443,TCP,1171,0.04,848,0,392081,0,1,0,0,0,ddos
147.206.175.19,129.44.69.248,20281,443,UDP,977,2.221,78,65,6196,3849,0,1,1,0,normal
221.241.50.52,67.0.135.46,46561,53,UDP,703,0.94,3,62,1004,7717,1,1,1,0,normal
229.55.178.35,32.101.229.132,4202,21,TCP,1454,4.007,56,15,639,6282,1,1,0,0,normal
251.29.169.107,112.198.79.254,44872,443,TCP,1193,0.099,639,0,77399,0,1,0,0,0,ddos
56.89.108.110,237.220.25.59,16186,21,UDP,163,0.466,42,31,8664,2756,1,1,1,0,normal
135.9.213.130,5.90.149.180,34023,21,TCP,745,1.058,67,37,1316,866,1,1,0,0,normal
30.46.128.14,75.104.177.47,37328,80,TCP,820,0.537,31,30,2281,3096,0,0,0,0,normal
217.138.57.89,15.226.118.76,18329,22,TCP,395,3.172,19,24,6099,1292,0,1,0,0,normal
231.80.191.201,254.79.159.189,45142,40261,TCP,60,0.001,1,0,60,0,1,0,0,0,port_scan
22.95.19.74,112.198.79.254,14247,443,TCP,854,0.057,723,0,165588,0,1,0,0,0,ddos
51.19.88.245,55.233.82.229,24233,21,TCP,1279,1.149,72,10,4178,6749,1,1,1,0,normal
161.195.73.24,204.218.14.99,7890,22,UDP,879,0.313,24,97,8826,2260,0,1,0,0,normal
25.117.20.216,112.198.79.254,27704,80,TCP,685,0.04,845,0,442183,0,1,0,0,0,ddos
97.215.194.75,98.243.38.131,58452,21,TCP,893,4.173,44,17,7137,5336,1,1,1,0,normal
137.208.127.57,112.198.79.254,30066,80,TCP,1445,0.042,692,0,170135,0,1,0,0,0,ddos
40.210.97.102,12.99.137.175,1649,80,ICMP,578,4.119,12,30,9925,2020,1,0,0,0,normal
219.169.37.206,84.212.20.229,37203,443,ICMP,462,4.745,82,9,8121,1584,1,1,0,0,normal
117.24.150.5,112.198.79.254,42726,80,TCP,1327,0.061,740,0,185621,0,1,0,0,0,ddos
9.239.65.16,102.242.86.119,52499,443,ICMP,1480,4.524,67,96,5043,4514,0,0,0,0,normal
231.227.183.115,106.243.170.177,38071,22,UDP,313,3.608,51,75,5399,6505,0,0,0,0,normal
207.208.36.184,112.198.79.254,12000,443,TCP,528,0.098,456,0,391356,0,1,0,0,0,ddos
231.80.191.201,254.79.159.189,42286,7916,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
82.34.59.143,122.130.61.163,6047,25,TCP,1238,4.095,29,33,1423,3786,1,1,1,0,normal
172.98.222.169,251.201.129.26,36549,25,UDP,518,1.551,41,32,2555,7303,1,0,0,0,normal
159.254.59.201,59.255.173.163,29141,22,ICMP,1166,0.522,81,58,8547,6479,0,1,0,0,normal
59.252.219.63,111.242.111.4,31709,21,TCP,906,4.324,30,68,9552,1984,1,1,0,0,normal
179.247.145.99,112.198.79.254,2495,443,TCP,1091,0.091,369,0,353843,0,1,0,0,0,ddos
226.4.112.187,206.83.226.96,59504,25,UDP,168,4.261,12,14,8905,3371,1,1,0,0,normal
96.133.157.174,238.8.93.75,30572,443,TCP,359,1.924,29,74,897,6120,1,1,0,0,normal
231.80.191.201,254.79.159.189,45073,8166,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
167.99.53.216,163.10.85.208,29217,443,TCP,218,1.851,87,17,3915,9261,1,1,0,0,normal
159.35.236.159,89.176.50.204,47032,21,TCP,1394,4.39,79,83,8793,4174,0,1,1,0,normal
38.83.105.226,12.86.204.136,62191,80,TCP,1335,3.003,37,91,6784,3774,1,0,1,0,normal
224.183.45.113,204.245.152.150,47730,25,ICMP,1302,3.581,55,12,4547,1965,0,1,0,0,normal
95.149.8.37,146.162.251.167,20968,53,UDP,737,3.582,49,15,1532,4982,1,1,0,0,normal
99.58.156.247,192.41.61.60,22934,80,ICMP,503,1.42,75,32,7555,8240,1,1,0,0,normal
69.203.240.191,188.203.143.102,19884,53,ICMP,840,3.336,71,91,9296,8692,1,0,1,0,normal
231.80.191.201,254.79.159.189,42241,8692,TCP,60,0.001,1,0,60,0,1,0,0,0,port_scan
231.80.191.201,254.79.159.189,46995,55404,TCP,60,0.001,1,0,60,0,1,0,0,0,port_scan
187.17.174.251,139.190.213.29,21067,25,UDP,431,0.019,93,57,8692,5309,0,1,0,0,normal
242.205.181.7,63.118.118.68,11734,25,ICMP,346,3.615,52,9,1714,4079,1,1,0,0,normal
145.28.53.246,61.219.84.241,65156,443,TCP,570,0.673,32,87,698,3871,1,0,0,0,normal
10.79.2.211,135.47.84.230,50057,25,UDP,1472,4.288,53,30,8181,6950,0,1,0,0,normal
176.153.223.152,112.198.79.254,62315,80,TCP,1040,0.063,259,0,162099,0,1,0,0,0,ddos
231.80.191.201,254.79.159.189,48751,50752,TCP,60,0.001,1,0,60,0,1,0,0,0,port_scan
238.58.176.102,51.172.181.93,33394,22,ICMP,1142,3.157,19,19,6604,6200,0,1,0,0,normal
89.164.9.89,32.65.81.57,28087,22,TCP,252,0.66,78,30,7933,9327,1,1,0,0,normal
167.203.209.66,196.229.180.87,34524,80,ICMP,1083,3.55,49,66,7354,1856,1,1,1,0,normal
177.179.177.159,118.188.159.10,33852,22,UDP,390,1.531,79,59,2912,3401,1,0,0,0,normal
231.80.191.201,254.79.159.189,46955,5512,TCP,60,0.001,1,0,60,0,1,0,0,0,port_scan
252.140.232.96,245.48.251.47,50541,22,UDP,84,3.831,66,29,9204,7188,1,1,0,0,normal
145.210.132.247,28.99.166.243,37091,53,UDP,790,3.751,46,20,1629,9231,1,0,0,0,normal
231.80.191.201,254.79.159.189,47996,23825,TCP,60,0.001,1,0,60,0,1,0,0,0,port_scan
231.80.191.201,254.79.159.189,49680,45503,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
232.208.141.73,130.187.11.190,9243,22,UDP,554,1.089,76,47,1386,1779,0,0,0,0,normal
180.77.196.39,103.234.149.36,49171,80,ICMP,274,0.397,79,21,3125,7151,0,1,0,0,normal
82.56.247.120,19.240.132.181,1834,22,ICMP,1211,2.23,45,90,8366,9837,0,0,1,0,normal
231.80.191.201,254.79.159.189,49531,2550,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
193.58.88.4,172.158.232.71,61229,22,UDP,981,3.701,34,54,4515,1555,0,0,1,0,normal
192.162.42.82,205.209.235.124,56757,22,TCP,1275,0.619,1,89,5289,2490,0,0,1,0,normal
75.54.105.129,133.252.243.159,6512,80,TCP,1325,4.894,83,20,5994,182,1,1,0,0,normal
72.118.191.82,243.74.169.106,64344,53,UDP,747,4.145,87,18,8693,1865,0,1,0,0,normal
66.155.81.60,5.29.190.213,46347,53,TCP,647,2.779,78,39,1302,4169,0,0,0,0,normal
189.201.1.20,112.198.79.254,25150,80,TCP,1116,0.022,697,0,217707,0,1,0,0,0,ddos
231.80.191.201,254.79.159.189,47150,20592,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
249.3.205.177,176.124.78.56,60995,25,TCP,988,3.956,2,9,5068,1282,0,1,0,0,normal
107.123.218.242,43.190.244.5,15622,22,UDP,227,0.445,27,98,7076,3826,1,1,1,0,normal
115.241.131.47,112.198.79.254,49634,443,TCP,578,0.062,907,0,126471,0,1,0,0,0,ddos
50.179.55.188,112.198.79.254,32336,443,TCP,973,0.059,342,0,415879,0,1,0,0,0,ddos
152.0.60.132,189.102.26.118,36525,80,ICMP,1471,4.185,95,31,8987,9482,1,0,1,0,normal
86.66.141.104,186.231.222.205,13863,22,TCP,1028,3.422,83,43,326,8182,1,1,1,0,normal
151.176.247.134,13.51.144.93,26265,53,UDP,884,2.339,91,51,268,7736,1,1,1,0,normal
143.187.233.86,90.77.251.198,28195,22,ICMP,516,0.603,86,69,9637,4246,0,0,0,0,normal
159.105.67.78,32.144.223.218,23775,25,TCP,909,4.572,4,77,5536,4341,1,0,1,0,normal
231.80.191.201,254.79.159.189,41298,19683,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
15.114.162.13,121.162.15.174,35667,80,TCP,1425,1.141,81,13,5806,4715,0,0,1,0,normal
10.251.39.126,112.198.79.254,47876,443,TCP,1271,0.042,520,0,409290,0,1,0,0,0,ddos
231.80.191.201,254.79.159.189,43375,10546,TCP,60,0.001,1,0,60,0,1,0,0,0,port_scan
10.151.43.237,195.249.109.115,61657,22,UDP,831,4.225,42,34,2200,826,0,0,0,0,normal
134.143.38.99,210.115.94.92,34308,443,UDP,1387,1.543,83,21,6125,3992,1,1,1,0,normal
231.80.191.201,254.79.159.189,45596,37619,TCP,60,0.001,1,0,60,0,1,0,0,0,port_scan
85.94.9.174,228.249.18.9,24772,80,UDP,1468,2.461,68,33,3412,1073,0,1,0,0,normal
211.218.81.68,101.161.22.237,20468,443,TCP,914,3.051,24,2,5775,7963,1,0,1,0,normal
146.33.158.231,210.206.178.171,9129,53,TCP,875,0.229,29,3,3905,8369,1,1,1,0,normal
226.32.246.237,112.198.79.254,16924,80,TCP,661,0.063,857,0,333673,0,1,0,0,0,ddos
199.169.59.240,173.163.134.133,17495,22,TCP,1435,0.485,55,37,799,8213,1,0,0,0,normal
191.148.207.243,253.66.4.142,19278,443,UDP,267,0.811,25,43,1790,4114,0,0,0,0,normal
116.166.175.150,3.140.66.121,45657,443,UDP,994,0.146,74,67,8225,8154,1,0,1,0,normal
166.169.17.92,79.101.42.237,51483,53,ICMP,1032,3.945,55,39,7690,3593,0,1,1,0,normal
48.222.14.133,71.244.179.157,51027,25,ICMP,1250,3.252,86,23,8559,7070,1,1,1,0,normal
174.71.182.149,8.166.131.98,49175,22,ICMP,312,0.068,29,81,841,4024,0,0,1,0,normal
61.152.113.101,115.232.178.135,53177,53,UDP,1349,4.867,58,91,916,3845,1,0,0,0,normal
243.128.205.101,157.19.150.66,60488,80,ICMP,1213,1.328,13,40,2658,6024,1,1,0,0,normal
231.80.191.201,254.79.159.189,42498,29447,TCP,60,0.001,1,0,60,0,1,0,0,0,port_scan
204.66.95.237,112.198.79.254,45545,443,TCP,1139,0.004,892,0,263162,0,1,0,0,0,ddos
255.207.70.138,22.65.223.78,23487,25,TCP,826,0.127,33,27,9689,4490,1,0,1,0,normal
234.87.23.43,148.34.80.80,26283,22,UDP,448,2.856,98,6,453,2622,0,0,0,0,normal
113.112.225.96,247.132.161.65,17108,22,ICMP,1490,3.384,35,5,2096,6404,1,0,0,0,normal
121.37.3.162,81.92.140.200,33268,443,UDP,723,3.242,68,59,2109,2476,0,0,1,0,normal
248.177.187.174,86.138.85.120,41171,21,UDP,368,4.401,95,4,4531,1847,1,1,1,0,normal
100.178.2.142,11.137.6.240,4554,22,TCP,1476,1.82,56,100,6878,2414,0,1,1,0,normal
11.225.5.92,22.16.113.208,39893,53,ICMP,490,4.078,30,34,5638,2845,1,1,0,0,normal
37.205.115.171,173.175.107.118,25312,80,UDP,1275,0.358,37,75,2130,9346,1,0,1,0,normal
221.145.204.13,17.82.87.207,56714,80,UDP,336,1.89,23,21,5419,2615,1,1,1,0,normal
225.18.183.83,192.71.39.105,1611,53,ICMP,471,1.462,30,51,1073,3697,1,1,1,0,normal
101.170.173.161,207.41.92.64,50558,22,ICMP,1389,2.316,11,79,9342,2998,1,0,1,0,normal
231.80.191.201,254.79.159.189,40287,53656,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
137.167.168.107,156.138.83.74,38643,25,UDP,580,3.354,19,88,3731,502,1,0,0,0,normal
231.80.191.201,254.79.159.189,40475,40533,TCP,60,0.001,1,0,60,0,1,0,0,1,port_scan
235.140.207.101,73.37.99.79,33044,443,TCP,1272,4.33,44,91,1586,6018,0,0,0,0,normal
103.192.63.28,239.120.80.70,23595,25,ICMP,1028,3.2,99,68,6842,9330,1,1,1,0,normal
34.86.61.134,62.48.28.92,4863,53,ICMP,552,2.342,10,25,3062,1473,0,1,0,0,normal
108.155.194.103,112.198.79.254,35439,443,TCP,1103,0.016,984,0,376726,0,1,0,0,0,ddos
231.80.191.201,254.79.159.189,48624,743,TCP,60,0.001,1,0,60,0,1,0,0,0,port_scan
231.80.191.201,254.79.159.189,47863,5405,TCP,60,0.001,1,0,60,0,1,0,0,0,port_scan
141.166.32.101,35.210.133.106,26044,21,TCP,859,2.276,36,65,4706,9233,1,1,0,0,normal
129.51.15.129,18.125.119.63,25409,443,ICMP,1385,1.218,44,43,4868,3138,1,0,0,0,normal
133.41.65.235,1.166.168.62,48943,80,ICMP,1165,0.096,97,91,7286,5737,1,0,0,0,normal
251.253.60.3,217.150.208.20,43206,22,TCP,534,4.368,14,41,1009,3689,0,1,1,0,normal
107.131.80.125,116.92.246.72,24513,53,ICMP,120,4.059,78,81,5930,5883,0,0,1,0,normal
